forretningsproces,kommunekode,registreringFra,virkningFra,status,byg007Bygningsnummer,byg021BygningensAnvendelse,byg026Opførelsesår,byg032YdervæggensMateriale,byg033Tagdækningsmateriale,byg037KildeTilBygningensMaterialer,byg038SamletBygningsareal,byg039BygningensSamledeBoligAreal,byg040BygningensSamledeErhvervsAreal,byg041BebyggetAreal,byg042ArealIndbyggetGarage,byg043ArealIndbyggetCarport,byg044ArealIndbyggetUdhus,byg045ArealIndbyggetUdestueEllerLign,byg046SamletArealAfLukkedeOverdækningerPåBygningen,byg047ArealAfAffaldsrumITerrænniveau,byg048AndetAreal,byg049ArealAfOverdækketAreal,byg050ArealÅbneOverdækningerPåBygningenSamlet,byg051Adgangsareal,byg053BygningsarealerKilde,byg054AntalEtager,byg056Varmeinstallation,byg057Opvarmningsmiddel,byg058SupplerendeVarme,byg069Sikringsrumpladser,byg133KildeTilKoordinatsæt,byg134KvalitetAfKoordinatsæt,byg135SupplerendeOplysningOmKoordinatsæt,byg136PlaceringPåSøterritorie,byg404Koordinat,byg406Koordinatsystem
25,173,2017-08-28T09:11:23.29447Z,2017-08-28T09:11:23.29447Z,6,1,120,2012,1,4,2,261,261,,261,,,,,,,,,,,2,1,2,7,1,,K,1,31,0,POINT Z(719750.67 6189207.7 0),5
25,173,2017-08-28T09:11:24.860214Z,2017-08-28T09:11:24.860214Z,6,1,120,1956,1,2,5,186,156,,186,35,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(718682.4 6188392.82 0),5
25,173,2017-08-28T09:11:26.563386Z,2017-08-28T09:11:26.563386Z,6,1,120,1977,1,3,5,145,145,,145,,,,,,,,6,,,5,1,2,7,5,,K,1,31,0,POINT Z(720303.83 6188627.33 0),5
25,173,2017-08-28T09:11:30.782268Z,2017-08-28T09:11:30.782268Z,6,1,120,2004,5,5,5,88,156,,88,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720612.83 6188482.01 0),5
25,173,2017-08-28T09:11:32.866439Z,2017-08-28T09:11:32.866439Z,6,1,120,1965,1,5,5,85,131,,85,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(720645.77 6188545.29 0),5
25,173,2017-08-28T09:11:33.266707Z,2017-08-28T09:11:33.266707Z,6,1,120,1958,1,3,5,136,136,,136,,,,,,,,4,,,5,1,2,7,5,,K,1,31,0,POINT Z(718967.27 6188492.52 0),5
25,173,2017-08-28T09:11:42.762421Z,2017-08-28T09:11:42.762421Z,6,1,120,1950,1,5,2,85,132,,85,,,,,,,,23,,,2,1,2,7,,,K,1,31,0,POINT Z(718616.5 6189141.51 0),5
25,173,2017-08-28T09:11:46.132603Z,2017-08-28T09:11:46.132603Z,6,1,120,1969,1,1,5,176,176,,176,,,,,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(718826.15 6189018.49 0),5
25,173,2017-08-28T09:11:50.464449Z,2017-08-28T09:11:50.464449Z,6,1,120,1921,1,5,5,119,152,27,119,,,,,,,,,,,5,1,2,3,2,,K,1,31,0,POINT Z(719857.2 6189233.59 0),5
25,173,2017-08-28T09:11:55.13207Z,2017-08-28T09:11:55.13207Z,6,1,120,1961,1,3,5,128,107,,128,,,,21,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720466.43 6188313.71 0),5
25,173,2017-08-28T09:11:57.730784Z,2017-08-28T09:11:57.730784Z,6,1,120,1996,5,4,5,105,186,,105,,,,,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(720544.7 6188401.04 0),5
25,173,2017-08-28T09:11:58.877066Z,2017-08-28T09:11:58.877066Z,6,1,120,1937,1,10,5,75,75,,75,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718952.17 6189036.96 0),5
25,173,2017-08-28T09:12:00.521191Z,2017-08-28T09:12:00.521191Z,6,1,120,1928,5,5,5,88,148,,88,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719812.63 6189279.7 0),5
25,173,2017-08-28T09:12:01.114955Z,2017-08-28T09:12:01.114955Z,6,1,120,1975,1,1,5,155,155,,155,,,,,,,,24,,,5,1,2,7,5,,K,1,31,0,POINT Z(720559.29 6188436 0),5
25,173,2017-08-28T09:12:08.19393Z,2017-08-28T09:12:08.19393Z,6,1,120,2012,1,4,2,155,155,,155,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(719688.08 6188417.05 0),5
25,173,2017-08-28T09:12:12.785923Z,2017-08-28T09:12:12.785923Z,6,1,120,1960,1,3,5,104,104,,104,,,,,,,,,,,5,1,2,3,2,,K,1,31,0,POINT Z(720431.26 6188469.78 0),5
25,173,2017-08-28T09:12:16.411038Z,2017-08-28T09:12:16.411038Z,6,1,120,1967,1,2,5,139,139,,139,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(719909.38 6189237.59 0),5
25,173,2017-08-28T09:12:24.948913Z,2017-08-28T09:12:24.948913Z,6,1,120,1937,1,5,5,202,202,,101,,,,,,,,,,,5,2,2,7,,,K,1,31,0,POINT Z(720564.86 6189046.35 0),5
25,173,2017-08-28T09:12:26.067584Z,2017-08-28T09:12:26.067584Z,6,1,120,1957,1,3,5,167,146,,167,,,,21,,,,7,,,5,1,2,7,,,K,1,31,0,POINT Z(718846.28 6188377.68 0),5
25,173,2017-08-28T09:12:27.030235Z,2017-08-28T09:12:27.030235Z,6,1,120,2011,5,4,2,171,139,,171,,,,32,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(718907.73 6188428.14 0),5
25,173,2017-08-28T09:12:31.774251Z,2017-08-28T09:12:31.774251Z,6,1,120,1964,1,3,5,108,108,,108,,,,,,,,13,,,5,1,2,3,2,,K,1,31,0,POINT Z(720362.35 6188356.16 0),5
25,173,2017-08-28T09:12:41.006653Z,2017-08-28T09:12:41.006653Z,6,1,120,1957,1,4,5,118,183,,118,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718913.16 6188304.27 0),5
25,173,2017-08-28T09:12:41.522299Z,2017-08-28T09:12:41.522299Z,6,1,120,1954,1,5,5,110,110,,110,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(718649.17 6189305.93 0),5
25,173,2017-08-28T09:12:44.116136Z,2017-08-28T09:12:44.116136Z,6,1,120,1957,1,3,5,115,115,,115,,,,,,,,2,,,5,1,2,7,2,,K,1,31,0,POINT Z(720233.42 6188368.16 0),5
25,173,2017-08-28T09:12:45.826182Z,2017-08-28T09:12:45.826182Z,6,1,120,1958,2,6,5,96,167,,96,,,,,,,,23,,,5,1,2,7,2,,K,1,31,0,POINT Z(719909.57 6189088.72 0),5
25,173,2017-08-28T09:12:54.168277Z,2017-08-28T09:12:54.168277Z,6,1,120,1979,1,5,2,214,176,,214,,30,8,,,,,,,,2,1,2,7,5,,K,1,31,0,POINT Z(719618.12 6188621.69 0),5
25,173,2017-08-28T09:12:59.760131Z,2017-08-28T09:12:59.760131Z,6,1,120,1947,1,5,5,65,106,,65,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(720262.41 6189080.76 0),5
25,173,2017-08-28T09:13:01.85531Z,2017-08-28T09:13:01.85531Z,6,1,120,1940,1,5,5,133,133,,133,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718480.91 6189067.34 0),5
25,173,2017-08-28T09:13:07.824594Z,2017-08-28T09:13:07.824594Z,6,1,120,1962,1,1,5,166,166,,166,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(720384.43 6188433.94 0),5
25,173,2017-08-28T09:13:12.696632Z,2017-08-28T09:13:12.696632Z,6,1,120,1954,1,5,5,71,136,,71,,,,,,,,5,,,5,1,2,7,,,K,1,31,0,POINT Z(718689.41 6189061.86 0),5
25,173,2017-08-28T09:13:16.757782Z,2017-08-28T09:13:16.757782Z,6,1,120,1957,1,5,5,116,153,,116,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718557.68 6189044.8 0),5
25,173,2017-08-28T09:13:18.556248Z,2017-08-28T09:13:18.556248Z,6,1,120,1957,1,3,5,146,146,,146,,,,,,,,,,,5,1,2,3,5,,K,1,31,0,POINT Z(720594.15 6188944.07 0),5
25,173,2017-08-28T09:13:21.043978Z,2017-08-28T09:13:21.043978Z,6,1,120,1954,1,3,2,148,151,,148,,,,,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(718698.36 6188424.74 0),5
25,173,2017-08-28T09:13:22.075265Z,2017-08-28T09:13:22.075265Z,6,1,120,1980,1,4,2,146,146,,146,,,,,,,,,,,2,1,7,1,2,,K,1,31,0,POINT Z(720293.11 6188283.88 0),5
25,173,2017-08-28T09:13:41.263388Z,2017-08-28T09:13:41.263388Z,6,1,120,1923,5,3,5,159,209,,159,,,,,,,,12,,,5,1,2,7,2,,K,1,31,0,POINT Z(720467.97 6188953.76 0),5
25,173,2017-08-28T09:13:45.976529Z,2017-08-28T09:13:45.976529Z,6,1,120,2013,1,5,2,227,227,,227,,,,,,,,3,,,2,1,2,7,,,K,1,31,0,POINT Z(718974.48 6188462.51 0),5
25,173,2017-08-28T09:13:48.127377Z,2017-08-28T09:13:48.127377Z,6,1,120,1960,1,1,2,266,200,12,266,,34,20,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(720348.64 6188320.91 0),5
25,173,2017-08-28T09:13:48.658644Z,2017-08-28T09:13:48.658644Z,6,1,120,1953,1,5,5,102,111,,102,,,,17,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718545.95 6189252.73 0),5
25,173,2017-08-28T09:13:50.627019Z,2017-08-28T09:13:50.627019Z,6,1,120,1961,2,1,5,147,102,,147,,17,17,11,,,,,,,5,1,2,7,90,,K,1,31,0,POINT Z(720409.83 6188449.61 0),5
25,173,2017-08-28T09:14:03.411185Z,2017-08-28T09:14:03.411185Z,6,1,120,1953,1,5,1,129,129,,129,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(720684.42 6189089.01 0),5
25,173,2017-08-28T09:14:05.338186Z,2017-08-28T09:14:05.338186Z,6,1,120,1951,1,5,5,75,124,,75,,,,,,,,12,,,5,1,2,7,5,,K,1,31,0,POINT Z(719569.96 6189143.54 0),5
25,173,2017-08-28T09:14:08.170717Z,2017-08-28T09:14:08.170717Z,6,1,120,1957,1,3,2,137,137,,137,,,,,,,,,,,2,1,2,3,2,,K,1,31,0,POINT Z(718955.49 6188460.75 0),5
25,173,2017-08-28T09:14:11.738762Z,2017-08-28T09:14:11.738762Z,6,1,120,1961,1,3,5,160,160,,160,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719898.7 6188952.6 0),5
25,173,2017-08-28T09:14:13.659594Z,2017-08-28T09:14:13.659594Z,6,1,120,1962,1,3,5,112,112,,112,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(719638.59 6188569.52 0),5
25,173,2017-08-28T09:14:14.22985Z,2017-08-28T09:14:14.22985Z,6,1,120,1963,1,1,5,171,143,,171,,28,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(719775.57 6189115.13 0),5
25,173,2017-08-28T09:14:14.792345Z,2017-08-28T09:14:14.792345Z,6,1,120,1957,1,3,5,144,144,,144,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(720239.09 6188306.57 0),5
25,173,2017-08-28T09:14:18.269119Z,2017-08-28T09:14:18.269119Z,6,1,120,1923,1,3,5,101,171,,101,,,,,,,,,,,5,1,2,3,,,K,1,31,0,POINT Z(720589.06 6188377.2 0),5
25,173,2017-08-28T09:14:18.886209Z,2017-08-28T09:14:18.886209Z,6,1,120,1947,1,5,5,106,126,,106,,,,,,,,,,,5,1,2,3,,,K,1,31,0,POINT Z(718587.14 6189118.75 0),5
25,173,2017-08-28T09:14:20.901895Z,2017-08-28T09:14:20.901895Z,6,1,120,1962,1,3,5,184,184,,184,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(720265.7 6188346.47 0),5
25,173,2017-08-28T09:14:24.605122Z,2017-08-28T09:14:24.605122Z,6,1,120,1960,1,3,5,100,100,,100,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719637.51 6188540.85 0),5
25,173,2017-08-28T09:14:28.92242Z,2017-08-28T09:14:28.92242Z,6,1,120,1954,1,5,5,80,118,,80,,,,,,,,,,,2,1,2,3,,,K,1,31,0,POINT Z(720261.81 6189047.24 0),5
25,173,2017-08-28T09:14:40.288979Z,2017-08-28T09:14:40.288979Z,6,1,120,1973,1,3,2,178,162,16,178,,,,,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(720561.99 6188596.91 0),5
25,173,2017-08-28T09:14:41.54064Z,2017-08-28T09:14:41.54064Z,6,1,120,1953,2,3,5,81,90,,81,,,,,,,,30,,,5,1,2,7,2,,K,1,31,0,POINT Z(720526.36 6188939.41 0),5
25,173,2017-08-28T09:14:42.150851Z,2017-08-28T09:14:42.150851Z,6,1,120,1997,1,5,5,176,176,,95,,,,,,,,,,,5,2,2,7,5,,K,1,31,0,POINT Z(719591.21 6187929.03 0),5
25,173,2017-08-28T09:15:02.129916Z,2017-08-28T09:15:02.129916Z,6,1,120,1968,1,5,5,165,165,,165,,,,,,,,18,,,5,1,2,7,5,,K,1,31,0,POINT Z(719678.16 6188376.55 0),5
25,173,2017-08-28T09:15:07.089049Z,2017-08-28T09:15:07.089049Z,6,1,120,1923,1,5,5,157,213,,157,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720283.46 6188670.86 0),5
25,173,2017-08-28T09:15:12.549176Z,2017-08-28T09:15:12.549176Z,6,1,120,1959,1,6,5,115,123,,115,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718878.89 6188480.8 0),5
25,173,2017-08-28T09:15:14.602981Z,2017-08-28T09:15:14.602981Z,6,1,120,1948,1,5,5,110,195,,110,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718475.06 6189117.88 0),5
25,173,2017-08-28T09:15:17.74139Z,2017-08-28T09:15:17.74139Z,6,1,120,1956,1,5,5,124,132,,124,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(718613.15 6189315.37 0),5
25,173,2017-08-28T09:15:19.890171Z,2017-08-28T09:15:19.890171Z,6,1,120,1943,1,5,5,165,242,,165,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718944.63 6188624.93 0),5
25,173,2017-08-28T09:15:28.093024Z,2017-08-28T09:15:28.093024Z,6,1,120,1954,1,5,2,110,159,,110,,,,,,,,20,,,2,1,2,7,2,,K,1,31,0,POINT Z(718757.7 6189062.9 0),5
25,173,2017-08-28T09:15:31.239908Z,2017-08-28T09:15:31.239908Z,6,1,120,1932,1,90,2,137,143,,137,,,,,,,,15,,,2,1,2,7,,,K,1,31,0,POINT Z(720546.32 6188303.69 0),5
25,173,2017-08-28T09:15:34.624595Z,2017-08-28T09:15:34.624595Z,6,1,120,1955,2,6,5,102,90,,102,12,,,,,,,,,,5,1,7,1,2,,K,1,31,0,POINT Z(718419.6 6188946.53 0),5
25,173,2017-08-28T09:15:36.583514Z,2017-08-28T09:15:36.583514Z,6,1,120,1800,1,7,5,111,178,,111,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(720069.2 6188711.89 0),5
25,173,2017-08-28T09:15:40.641362Z,2017-08-28T09:15:40.641362Z,6,1,120,1958,1,4,2,127,205,,127,,,,,,,,,,,2,1,2,3,2,,K,1,31,0,POINT Z(718860.25 6188472.82 0),5
25,173,2017-08-28T09:15:43.694471Z,2017-08-28T09:15:43.694471Z,6,1,120,1949,1,4,5,136,224,,136,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718487.53 6189220.68 0),5
25,173,2017-08-28T09:15:46.378484Z,2017-08-28T09:15:46.378484Z,6,1,120,1959,1,1,2,139,121,,139,,,,18,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(720448.74 6188927.05 0),5
25,173,2017-08-28T09:15:53.524917Z,2017-08-28T09:15:53.524917Z,6,1,120,1965,1,1,5,191,191,,191,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(720528.77 6188567.71 0),5
25,173,2017-08-28T09:15:58.410254Z,2017-08-28T09:15:58.410254Z,6,1,120,1988,1,5,5,184,184,,184,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718901.56 6189020.96 0),5
25,173,2017-08-28T09:16:06.439301Z,2017-08-28T09:16:06.439301Z,6,1,120,1948,1,5,5,117,188,,117,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718507.4 6189229.44 0),5
25,173,2017-08-28T09:16:07.566872Z,2017-08-28T09:16:07.566872Z,6,1,120,1955,2,5,2,171,150,,171,,,,21,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(718506.72 6189023.4 0),5
25,173,2017-08-28T09:16:13.856649Z,2017-08-28T09:16:13.856649Z,6,1,120,1957,1,5,5,123,188,,123,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(718736.01 6188524.13 0),5
25,173,2017-08-28T09:16:14.943236Z,2017-08-28T09:16:14.943236Z,6,1,120,1954,1,2,2,149,117,32,149,,,,,,,,11,,,2,1,2,7,2,,K,1,31,0,POINT Z(719553.59 6187887.64 0),5
25,173,2017-08-28T09:16:17.226516Z,2017-08-28T09:16:17.226516Z,6,1,120,1958,1,2,5,146,146,,146,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718871.13 6188436.03 0),5
25,173,2017-08-28T09:16:17.785239Z,2017-08-28T09:16:17.785239Z,6,1,120,2015,1,5,2,216,216,,216,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(720326.04 6188505 0),5
25,173,2017-08-28T09:16:37.362701Z,2017-08-28T09:16:37.362701Z,6,1,120,1986,1,5,5,218,218,,218,,,,,,,,,,,5,1,5,1,2,,K,1,31,0,POINT Z(719682.54 6188107.3 0),5
25,173,2017-08-28T09:16:39.456492Z,2017-08-28T09:16:39.456492Z,6,1,120,1980,1,4,5,200,220,,200,,43,,,,,,,,,5,1,6,7,5,,K,1,31,0,POINT Z(719608.85 6188593.86 0),5
25,173,2017-08-28T09:17:02.90016Z,2017-08-28T09:17:02.90016Z,6,1,120,1922,1,5,5,138,214,,138,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720374.59 6188766.82 0),5
25,173,2017-08-28T09:17:03.40017Z,2017-08-28T09:17:03.40017Z,6,1,120,1961,1,3,5,144,144,,144,,,,,,,,,,,5,1,6,7,2,,K,1,31,0,POINT Z(718990.73 6188536.12 0),5
25,173,2017-08-28T09:17:06.920519Z,2017-08-28T09:17:06.920519Z,6,1,120,1964,2,5,2,152,203,,152,,,,24,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(719934.02 6189158.09 0),5
25,173,2017-08-28T09:17:10.269287Z,2017-08-28T09:17:10.269287Z,6,1,120,1950,1,5,5,71,116,,71,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719713.26 6189094.42 0),5
25,173,2017-08-28T09:17:18.247295Z,2017-08-28T09:17:18.247295Z,6,1,120,1949,1,5,5,110,164,,110,,,,,,,,33,,,5,1,2,7,2,,K,1,31,0,POINT Z(719660.79 6189168.23 0),5
25,173,2017-08-28T09:17:27.419123Z,2017-08-28T09:17:27.419123Z,6,1,120,1960,1,3,5,182,182,,182,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720516.77 6188829.88 0),5
25,173,2017-08-28T09:17:28.584156Z,2017-08-28T09:17:28.584156Z,6,1,120,1938,1,5,5,123,123,,123,,,,,,,,,,,5,1,2,3,5,,K,1,31,0,POINT Z(720310.58 6188670.36 0),5
25,173,2017-08-28T09:17:29.131047Z,2017-08-28T09:17:29.131047Z,6,1,120,1968,5,5,5,160,160,,160,,,,,,,,17,,,5,1,2,7,5,,K,1,31,0,POINT Z(720371.38 6188862.24 0),5
25,173,2017-08-28T09:17:31.82489Z,2017-08-28T09:17:31.82489Z,6,1,120,1905,1,4,5,84,124,,84,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(720528.29 6188351.39 0),5
25,173,2017-08-28T09:17:36.517405Z,2017-08-28T09:17:36.517405Z,6,1,120,1970,1,5,1,188,176,12,188,,,,,,,,,,,1,1,2,7,5,,K,1,31,0,POINT Z(719640.58 6188104.95 0),5
25,173,2017-08-28T09:17:37.064205Z,2017-08-28T09:17:37.064205Z,6,1,120,1951,2,5,2,121,175,,121,,,,,,,,,,,2,1,2,7,5,,K,1,31,0,POINT Z(718911.83 6188973.79 0),5
25,173,2017-08-28T09:17:39.450203Z,2017-08-28T09:17:39.450203Z,6,1,120,1951,1,5,2,74,126,,74,,,,,,,,14,,,2,1,2,7,,,K,1,31,0,POINT Z(716776 6188386.87 0),5
25,173,2017-08-28T09:17:45.06498Z,2017-08-28T09:17:45.06498Z,6,1,120,1954,1,5,5,66,118,,66,,,,,,,,6,,,5,1,2,7,,,K,1,31,0,POINT Z(716379.31 6188144.85 0),5
25,173,2017-08-28T09:17:46.160884Z,2017-08-28T09:17:46.160884Z,6,1,120,1951,1,5,5,78,135,,78,,,,,,,,,,,5,1,2,3,,,K,1,31,0,POINT Z(716596.12 6188212.77 0),5
25,173,2017-08-28T09:17:48.484408Z,2017-08-28T09:17:48.484408Z,6,1,120,1949,1,5,5,109,180,,109,,,,,,,,5,,,5,1,2,7,5,,K,1,31,0,POINT Z(716719.12 6188668.74 0),5
25,173,2017-08-28T09:17:50.489152Z,2017-08-28T09:17:50.489152Z,6,1,120,1921,4,5,5,134,225,,134,,,,,,,,22,,,2,1,2,7,2,,K,1,31,0,POINT Z(716244.69 6189143.35 0),5
25,173,2017-08-28T09:17:54.559389Z,2017-08-28T09:17:54.559389Z,6,1,120,1950,1,5,5,101,108,,101,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(716795.01 6188609.23 0),5
25,173,2017-08-28T09:18:02.784706Z,2017-08-28T09:18:02.784706Z,6,1,120,1955,1,6,5,180,180,,180,,,,,,,,,,,2,1,2,7,5,,K,1,31,0,POINT Z(715663.71 6188906.81 0),5
25,173,2017-08-28T09:18:03.388229Z,2017-08-28T09:18:03.388229Z,6,5,120,2012,1,5,2,136,221,,136,,,,,,,,,,,2,1,2,7,1,,K,1,31,0,POINT Z(716010.82 6188386.67 0),5
25,173,2017-08-28T09:18:05.530497Z,2017-08-28T09:18:05.530497Z,6,1,120,1974,1,1,5,161,223,,161,,,,,,,,56,,,5,1,2,7,5,,K,1,31,0,POINT Z(716017.19 6187990.76 0),5
25,173,2017-08-28T09:18:06.178803Z,2017-08-28T09:18:06.178803Z,6,1,120,1949,1,5,5,140,125,,140,,,,17,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(716522.47 6188288.32 0),5
25,173,2017-08-28T09:18:09.57635Z,2017-08-28T09:18:09.57635Z,6,1,120,1960,1,3,5,101,101,,101,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(716458.52 6188965.4 0),5
25,173,2017-08-28T09:18:10.623252Z,2017-08-28T09:18:10.623252Z,6,1,120,1954,1,5,5,115,165,,115,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(716160.84 6188499.44 0),5
25,173,2017-08-28T09:18:13.273637Z,2017-08-28T09:18:13.273637Z,6,1,120,1956,90,3,2,137,137,,137,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(716218.34 6188928.79 0),5
25,173,2017-08-28T09:18:14.719802Z,2017-08-28T09:18:14.719802Z,6,1,120,1978,1,4,2,215,200,,215,,15,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(716616.36 6188465.98 0),5
25,173,2017-08-28T09:18:20.093371Z,2017-08-28T09:18:20.093371Z,6,1,120,1957,1,5,5,192,292,,192,,,,33,,,,25,,,2,1,2,7,5,,K,1,31,0,POINT Z(716017.5 6188300.48 0),5
25,173,2017-08-28T09:18:20.530987Z,2017-08-28T09:18:20.530987Z,6,1,120,1904,1,5,5,65,130,,65,,,,,,,,,,,5,1,2,3,2,,K,1,31,0,POINT Z(716475.92 6188858.73 0),5
25,173,2017-08-28T09:18:22.718488Z,2017-08-28T09:18:22.718488Z,6,1,120,1955,1,5,5,96,177,,96,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(716148.05 6188767.64 0),5
25,173,2017-08-28T09:18:23.234123Z,2017-08-28T09:18:23.234123Z,6,1,120,1958,1,1,1,146,146,,146,,,,,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(716011.69 6188050.82 0),5
25,173,2017-08-28T09:18:23.628822Z,2017-08-28T09:18:23.628822Z,6,1,120,1960,1,2,5,131,135,,131,,,,,,,,,,,1,1,2,3,5,,K,1,31,0,POINT Z(715917.05 6189048.07 0),5
25,173,2017-08-28T09:18:24.144464Z,2017-08-28T09:18:24.144464Z,6,1,120,1955,1,5,5,99,147,,99,,,,,,,,,,,5,1,2,3,2,,K,1,31,0,POINT Z(716300.24 6188124.33 0),5
25,173,2017-08-28T09:18:24.689087Z,2017-08-28T09:18:24.689087Z,6,1,120,1954,1,5,5,71,112,9,71,,,,,,,,,,,5,1,2,3,,,K,1,31,0,POINT Z(716232.09 6188536.54 0),5
25,173,2017-08-28T09:18:25.296711Z,2017-08-28T09:18:25.296711Z,6,1,120,1963,1,3,5,151,155,,151,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(715888.09 6188726.67 0),5
25,173,2017-08-28T09:18:25.78287Z,2017-08-28T09:18:25.78287Z,6,1,120,1954,2,3,5,192,192,,192,,,,,,,,11,,,5,1,2,7,5,,K,1,31,0,POINT Z(716140.67 6188657.7 0),5
25,173,2017-08-28T09:18:27.996328Z,2017-08-28T09:18:27.996328Z,6,1,120,1952,1,5,5,91,150,,91,,,,,,,,,,,2,1,2,7,5,,K,1,31,0,POINT Z(716276.05 6188360.41 0),5
25,173,2017-08-28T09:18:30.512051Z,2017-08-28T09:18:30.512051Z,6,1,120,1974,1,4,5,171,171,,171,,,,,,,,16,,,5,1,2,7,5,,K,1,31,0,POINT Z(716081.77 6189143.07 0),5
25,173,2017-08-28T09:18:33.905711Z,2017-08-28T09:18:33.905711Z,6,1,120,2015,1,5,2,230,199,,230,,23,8,,,,,23,,,2,1,5,1,,,K,1,31,0,POINT Z(715715.53 6188804.91 0),5
25,173,2017-08-28T09:18:36.002839Z,2017-08-28T09:18:36.002839Z,6,1,120,1935,1,2,2,178,178,,89,,,,,,,,,,,2,2,2,7,90,,K,1,31,0,POINT Z(716304.52 6188794.35 0),5
25,173,2017-08-28T09:18:40.695857Z,2017-08-28T09:18:40.695857Z,6,1,120,1962,1,2,5,129,129,,129,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(715719.54 6189044.63 0),5
25,173,2017-08-28T09:18:41.883365Z,2017-08-28T09:18:41.883365Z,6,1,120,1934,1,5,5,101,171,,101,,,,,,,,,,,5,1,2,7,90,,K,1,31,0,POINT Z(715411.75 6188814.36 0),5
25,173,2017-08-28T09:18:43.508412Z,2017-08-28T09:18:43.508412Z,6,1,120,1949,5,2,2,165,165,,165,,,,,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(716516.64 6189005.79 0),5
25,173,2017-08-28T09:18:44.687838Z,2017-08-28T09:18:44.687838Z,6,1,120,1954,1,5,2,134,110,,134,,,,24,,,,,,,2,1,2,7,2,,K,1,31,0,POINT Z(716579.35 6188501.75 0),5
25,173,2017-08-28T09:18:48.274176Z,2017-08-28T09:18:48.274176Z,6,1,120,1963,1,3,5,214,214,,214,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(716516.48 6188716.91 0),5
