forretningsproces,kommunekode,registreringFra,virkningFra,status,byg007Bygningsnummer,byg021BygningensAnvendelse,byg026Opførelsesår,byg032YdervæggensMateriale,byg033Tagdækningsmateriale,byg037KildeTilBygningensMaterialer,byg038SamletBygningsareal,byg039BygningensSamledeBoligAreal,byg040BygningensSamledeErhvervsAreal,byg041BebyggetAreal,byg042ArealIndbyggetGarage,byg043ArealIndbyggetCarport,byg044ArealIndbyggetUdhus,byg045ArealIndbyggetUdestueEllerLign,byg046SamletArealAfLukkedeOverdækningerPåBygningen,byg047ArealAfAffaldsrumITerrænniveau,byg048AndetAreal,byg049ArealAfOverdækketAreal,byg050ArealÅbneOverdækningerPåBygningenSamlet,byg051Adgangsareal,byg053BygningsarealerKilde,byg054AntalEtager,byg056Varmeinstallation,byg057Opvarmningsmiddel,byg058SupplerendeVarme,byg069Sikringsrumpladser,byg133KildeTilKoordinatsæt,byg134KvalitetAfKoordinatsæt,byg135SupplerendeOplysningOmKoordinatsæt,byg136PlaceringPåSøterritorie,byg404Koordinat,byg406Koordinatsystem
25,101,2022-07-29T09:50:10.779181Z,2022-07-29T09:50:10.779181Z,6,1,120,1935,1,3,1,109,80,,109,,,,21,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(716959.97 6179179.3 0),5
8,173,2022-08-01T06:05:22.108876Z,2022-08-01T06:05:22.108876Z,6,1,120,1953,1,6,5,135,135,,135,,,,,,,,,,,2,1,2,7,5,,K,1,31,0,POINT Z(716503.71 6189167.39 0),5
5,173,2022-08-01T06:05:54.302158Z,2022-08-01T06:05:54.302158Z,6,1,120,1940,1,6,5,168,154,18,168,,,,,,,,20,,,5,1,5,1,2,,K,1,31,0,POINT Z(719669.98 6187788.33 0),5
2,101,2022-08-01T08:42:23.016404Z,2022-08-01T08:42:23.016404Z,6,106,120,1955,1,10,1,98,105,,98,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(725772.28 6172575.42 0),5
2,101,2022-08-02T07:25:17.965062Z,2022-08-02T07:25:17.965062Z,6,1,120,1926,90,5,1,110,138,,110,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718037.17 6177811.29 0),5
5,173,2022-08-02T09:26:54.286347Z,2022-08-02T09:26:54.286347Z,6,1,120,1968,1,5,5,165,175,,165,,,,,,,,,,,5,1,5,1,2,,K,1,31,0,POINT Z(715492.07 6188827.88 0),5
5,173,2022-08-03T08:58:07.615468Z,2022-08-03T08:58:07.615468Z,6,1,120,1946,1,5,2,100,165,,100,,,,,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(717008.65 6188387.36 0),5
2,101,2022-08-08T06:06:50.618636Z,2022-08-08T06:06:50.618636Z,6,1,120,1927,1,5,1,129,176,,129,,,,,,,,2,,,1,1,1,,90,,K,1,11,0,POINT Z(719269.05 6175297.33 0),5
5,173,2022-08-08T06:33:13.497902Z,2022-08-08T06:33:13.497902Z,6,1,120,1965,1,2,5,169,142,,169,,20,7,,,,,,,,5,1,5,1,5,,K,1,31,0,POINT Z(721907.37 6189136.43 0),5
4,101,2022-08-08T09:37:09.053133Z,2022-08-08T09:37:09.053133Z,6,1,120,1938,1,3,1,88,88,,88,,,,,,,,28,,,1,1,1,,90,,K,1,11,0,POINT Z(725704.37 6171889.8 0),5
5,173,2022-08-08T10:09:41.728195Z,2022-08-08T10:09:41.728195Z,6,1,120,1957,2,5,5,106,177,,106,,,,,,,,15,,,5,1,5,1,5,,K,1,31,0,POINT Z(715956.43 6189125.58 0),5
5,173,2022-08-08T10:10:29.361273Z,2022-08-08T10:10:29.361273Z,6,1,120,1942,1,5,5,75,75,,75,,,,,,,,,,,5,1,5,1,,,K,1,31,0,POINT Z(717226.92 6188677.66 0),5
5,173,2022-08-08T11:07:14.729888Z,2022-08-08T11:07:14.729888Z,6,1,120,1958,1,2,5,177,177,,177,,,,,,,,29,,,2,1,2,7,2,,K,1,31,0,POINT Z(720440.83 6188710.5 0),5
1,101,2024-03-14T07:15:14.377416Z,2024-03-14T07:15:14.377416Z,6,236,120,2024,5,1,1,22,54,,22,,,,,,,,,,,1,1,5,1,7,,K,2,32,1,POINT Z(726327.28366119 6176080.76816496 0),5
2,173,2022-08-10T06:26:12.193553Z,2022-08-10T06:26:12.193553Z,6,1,120,1954,1,5,5,120,184,,120,,,,,,,,,,,5,1,5,1,2,,K,1,31,0,POINT Z(716804.29 6188433.56 0),5
5,173,2022-08-10T07:20:13.008304Z,2022-08-10T07:20:13.008304Z,6,1,120,1968,1,1,5,138,138,,138,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(716482.02 6189158.91 0),5
8,101,2022-08-10T09:34:39.759417Z,2022-08-10T09:34:39.759417Z,6,1,120,1930,4,5,1,51,122,,51,,,,,,,,25,,,5,1,1,,2,,K,1,11,0,POINT Z(720159.49 6179249.16 0),5
8,101,2022-08-10T11:27:36.221853Z,2022-08-10T11:27:36.221853Z,6,1,120,1956,1,10,1,84,84,,84,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(727270.14 6171904.65 0),5
8,101,2022-08-10T12:35:25.840866Z,2022-08-10T12:35:25.840866Z,6,1,120,1960,1,3,1,191,191,,177,,,,,,,,,,,2,2,1,,90,,K,1,11,0,POINT Z(728556.03 6172758.45 0),5
8,101,2022-08-10T12:40:42.180301Z,2022-08-10T12:40:42.180301Z,6,3,120,1987,1,2,2,159,159,,159,,,,,,,,,,,2,1,1,,7,,K,1,11,0,POINT Z(719593.38 6178261.64 0),5
8,101,2022-08-11T09:56:58.079644Z,2022-08-11T09:56:58.079644Z,6,1,120,1934,1,5,1,109,200,,109,,,,0,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(728855.3 6173353.72 0),5
4,101,2022-08-11T10:22:19.798543Z,2022-08-11T10:22:19.798543Z,6,1,120,1923,1,5,1,70,100,,70,,,,10,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(726907.3 6172160.89 0),5
5,173,2022-08-11T10:56:47.209816Z,2022-08-11T10:56:47.209816Z,6,1,120,1954,2,5,1,131,171,,131,,,,,,,,,,,5,1,5,1,7,,K,1,31,0,POINT Z(719910.44 6189320.44 0),5
8,101,2022-08-11T12:03:30.704486Z,2022-08-11T12:03:30.704486Z,6,1,120,1934,1,2,2,119,133,,119,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(725972.3 6173141.85 0),5
8,101,2023-02-23T07:23:14.434434Z,2023-02-23T07:23:14.434434Z,6,220,120,1982,5,3,1,115,108,,115,,,7,,,,,,,,1,1,7,1,1,,K,1,11,0,POINT Z(722410.14 6172199.12 0),5
4,101,2022-08-12T08:55:17.36736Z,2022-08-12T08:55:17.36736Z,6,1,120,1937,1,5,1,96,161,,96,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718569.98 6176419.73 0),5
5,173,2022-08-12T09:54:05.929957Z,2022-08-12T09:54:05.929957Z,6,1,120,1935,1,2,5,120,120,,120,,,,,,,,,,,5,1,5,1,,,K,1,31,0,POINT Z(718540.33 6185414.86 0),5
2,101,2022-08-12T10:25:26.698967Z,2022-08-12T10:25:26.698967Z,6,1,120,1930,1,5,1,91,135,,91,,,,16,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718973.92 6178182.21 0),5
2,101,2022-08-15T07:30:53.8227Z,2022-08-15T07:30:53.8227Z,6,1,120,1937,1,90,1,87,165,,87,,,,,,,,7,,,1,1,1,,2,,K,1,11,0,POINT Z(725784.44 6172947.18 0),5
5,173,2022-08-15T08:09:30.594331Z,2022-08-15T08:09:30.594331Z,6,1,120,1924,1,5,5,118,200,,118,,,,,,,,,,,5,1,5,1,5,,K,1,31,0,POINT Z(722048.08 6188942.37 0),5
8,101,2022-08-15T09:04:37.8083Z,2022-08-15T09:04:37.8083Z,6,1,120,1936,1,5,1,72,122,,72,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718392.24 6178976.91 0),5
8,101,2022-08-15T09:25:12.298471Z,2022-08-15T09:25:12.298471Z,6,1,120,1925,1,5,2,85,130,,85,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(722127.13 6181042.8 0),5
25,173,2017-08-28T08:28:11.094233Z,2017-08-28T08:28:11.094233Z,6,1,120,1917,1,5,5,150,150,,76,,,,,,,,,,,5,2,2,7,,,K,1,31,0,POINT Z(719629.81 6187647.74 0),5
25,173,2017-08-28T08:28:13.177759Z,2017-08-28T08:28:13.177759Z,6,1,120,1923,1,5,2,81,127,,81,,,,,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(719706.74 6187141.01 0),5
25,173,2017-08-28T08:28:22.920011Z,2017-08-28T08:28:22.920011Z,6,1,120,1902,1,2,5,168,168,,88,,,,,,,,,,,5,2,2,7,2,,K,1,31,0,POINT Z(719574.48 6187153.53 0),5
25,173,2017-08-28T08:28:30.477702Z,2017-08-28T08:28:30.477702Z,6,1,120,1900,1,2,1,202,202,,113,,,,,,,,,,,2,2,2,7,2,,K,1,31,0,POINT Z(719599.78 6187185.1 0),5
25,173,2017-08-28T08:28:32.082845Z,2017-08-28T08:28:32.082845Z,6,1,120,1904,1,5,5,91,169,,91,,,,,,,,,,,5,1,2,7,2,,K,1,31,0,POINT Z(718906.39 6187982.4 0),5
25,173,2017-08-28T08:28:34.582925Z,2017-08-28T08:28:34.582925Z,6,1,120,1956,1,2,5,269,250,,139,19,,,,,,,48,,,5,2,2,7,2,,K,1,31,0,POINT Z(719439.5 6187334.76 0),5
25,173,2017-08-28T08:28:40.138953Z,2017-08-28T08:28:40.138953Z,6,1,120,1931,1,2,5,166,166,,166,,,,,,,,20,,,5,1,2,7,5,,K,1,31,0,POINT Z(719573.38 6187369.83 0),5
25,173,2017-08-28T08:28:44.750544Z,2017-08-28T08:28:44.750544Z,6,1,120,1936,1,2,5,92,92,,92,,,,,,,,1,,,5,1,2,7,90,,K,1,31,0,POINT Z(719625.54 6187778.2 0),5
25,173,2017-08-28T08:28:45.813077Z,2017-08-28T08:28:45.813077Z,6,1,120,1898,1,90,5,97,141,,97,,,,,,,,,,,5,1,2,7,90,,K,1,31,0,POINT Z(719962.57 6186992.77 0),5
25,173,2017-08-28T08:28:53.765353Z,2017-08-28T08:28:53.765353Z,6,1,120,1900,1,7,5,80,110,,80,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719789.04 6186930.98 0),5
25,173,2017-08-28T08:29:00.938598Z,2017-08-28T08:29:00.938598Z,6,1,120,1939,1,6,5,145,145,,145,,,,,,,,2,,,5,1,2,7,2,,K,1,31,0,POINT Z(718706.94 6188211.94 0),5
25,173,2017-08-28T08:29:06.814396Z,2017-08-28T08:29:06.814396Z,6,1,120,1998,1,5,5,130,191,,130,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(719583.42 6187078.8 0),5
25,173,2017-08-28T08:29:10.377044Z,2017-08-28T08:29:10.377044Z,6,1,120,1959,1,5,5,247,199,,247,33,,,15,,,,14,,,5,1,2,7,5,,K,1,31,0,POINT Z(719526.74 6187670.6 0),5
25,173,2017-08-28T08:29:11.861824Z,2017-08-28T08:29:11.861824Z,6,1,120,1970,1,3,5,110,183,,110,,,,,,,,,,,5,1,5,1,,,K,1,31,0,POINT Z(718656.71 6188138.64 0),5
25,173,2017-08-28T08:29:14.556111Z,2017-08-28T08:29:14.556111Z,6,1,120,1962,1,3,5,160,160,,160,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719670.08 6187594.45 0),5
25,173,2017-08-28T08:29:18.538475Z,2017-08-28T08:29:18.538475Z,6,1,120,1900,1,5,1,165,221,,85,,,,,,,,,,,1,2,2,7,,,K,1,31,0,POINT Z(719615.69 6187418.2 0),5
25,173,2017-08-28T08:29:32.869227Z,2017-08-28T08:29:32.869227Z,6,1,120,1950,1,5,2,185,242,,185,,,,,,,,,,,1,1,2,7,5,,K,1,31,0,POINT Z(719467.53 6187862.32 0),5
25,173,2017-08-28T08:29:33.462773Z,2017-08-28T08:29:33.462773Z,6,1,120,1937,1,5,5,78,89,42,78,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718943.23 6187699.21 0),5
25,173,2017-08-28T08:29:35.634717Z,2017-08-28T08:29:35.634717Z,6,1,120,1937,1,5,5,152,152,,76,,,,,,,,13,,,5,2,2,7,5,,K,1,31,0,POINT Z(718733.08 6187452.08 0),5
25,173,2017-08-28T08:29:36.16622Z,2017-08-28T08:29:36.16622Z,6,1,120,1944,1,5,5,84,116,,84,,,,,,,,,,,1,1,2,3,,,K,1,31,0,POINT Z(719692.25 6187591.27 0),5
25,173,2017-08-28T08:29:38.994187Z,2017-08-28T08:29:38.994187Z,6,1,120,1946,1,5,5,96,162,,96,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(719556.47 6187747.44 0),5
25,173,2017-08-28T08:29:45.306521Z,2017-08-28T08:29:45.306521Z,6,1,120,1936,1,5,5,103,187,,103,,,,,,,,,,,1,1,2,7,5,,K,1,31,0,POINT Z(718749.49 6187461.89 0),5
25,173,2017-08-28T08:29:49.005469Z,2017-08-28T08:29:49.005469Z,6,1,120,1950,1,5,1,89,89,,89,,,,,,,,,,,1,1,2,7,5,,K,1,31,0,POINT Z(719633.21 6187142.2 0),5
25,173,2017-08-28T08:29:50.552389Z,2017-08-28T08:29:50.552389Z,6,1,120,1938,1,2,5,92,92,,92,,,,,,,,23,,,5,1,2,7,,,K,1,31,0,POINT Z(719663.5 6186866.43 0),5
25,173,2017-08-28T08:30:28.069693Z,2017-08-28T08:30:28.069693Z,6,1,120,1896,1,2,5,278,217,168,278,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(718854.75 6187000 0),5
25,173,2017-08-28T08:30:29.754479Z,2017-08-28T08:30:29.754479Z,6,1,120,1961,1,1,5,164,150,,164,,16,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(719371.94 6186325.28 0),5
25,173,2017-08-28T08:30:34.676557Z,2017-08-28T08:30:34.676557Z,6,1,120,1972,1,3,5,175,175,,175,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719469.48 6187499.73 0),5
25,173,2017-08-28T08:30:35.196342Z,2017-08-28T08:30:35.196342Z,6,1,120,1956,1,5,5,71,109,,71,,,,,,,,9,,,5,1,2,7,,,K,1,31,0,POINT Z(718730.21 6188016.82 0),5
25,173,2017-08-28T08:30:54.817533Z,2017-08-28T08:30:54.817533Z,6,1,120,1924,5,5,1,113,199,,113,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719611.14 6187479.34 0),5
25,173,2017-08-28T08:30:56.509058Z,2017-08-28T08:30:56.509058Z,6,1,120,1873,4,7,5,156,238,,156,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719113.17 6186769.89 0),5
25,173,2017-08-28T08:30:57.551982Z,2017-08-28T08:30:57.551982Z,6,1,120,1931,1,5,5,105,152,,105,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718786.47 6188116.23 0),5
25,173,2017-08-28T08:30:59.76893Z,2017-08-28T08:30:59.76893Z,6,1,120,1939,1,5,1,90,148,,90,,,,,,,,,,,1,1,2,7,2,,K,1,31,0,POINT Z(719512.99 6187326.17 0),5
25,173,2017-08-28T08:31:07.523717Z,2017-08-28T08:31:07.523717Z,6,1,120,1934,1,3,1,115,115,,115,,,,,,,,,,,1,1,2,3,,,K,1,31,0,POINT Z(719603.34 6187537.51 0),5
